unix_ms,rss_kb,cpu_pct
1787234222954,96784,16.0
1787234223014,105808,16.0
1787234223076,111936,27.4
1787234223139,111936,27.4
1787234223193,117904,52.2
1787234223257,117936,52.2
1787234223320,118064,69.2
1787234223380,118064,69.2
1787234223436,118080,69.2
1787234223499,118000,82.1
1787234223562,118000,82.1
1787234223622,118000,87.2
1787234223685,118000,87.2
1787234223740,118000,93.4
1787234223800,117968,93.4
1787234223855,117968,96.7
1787234223918,117984,96.7
1787234223974,117984,96.7
1787234224037,117984,96.7
1787234224099,117984,99.5
1787234224162,118000,99.5
1787234224217,118000,98.0
1787234224278,118000,98.0
1787234224342,119168,100.0
1787234224405,127296,100.0
1787234224461,135904,98.6
1787234224515,144784,98.6
1787234224576,153136,100.0
1787234224633,162512,100.0
1787234224697,169808,98.8
1787234224755,179824,98.8
1787234224815,189856,98.8
1787234224874,196208,99.3
1787234224931,203680,99.3
1787234224994,214512,98.9
1787234225056,224640,98.9
1787234225118,236096,100.0
1787234225180,239792,100.0
1787234225243,248608,100.0
1787234225306,258704,100.0
1787234225369,262608,99.6
1787234225433,262688,99.6
1787234225496,262688,79.3
1787234225557,262688,79.3
1787234225618,262688,49.6
1787234225689,262688,49.6
