unix_ms,rss_kb,cpu_pct
1787234232805,96880,19.9
1787234232868,105808,17.6
1787234232931,138496,17.6
1787234232984,138496,37.1
1787234233046,138496,37.1
1787234233105,138496,59.3
1787234233161,138496,59.3
1787234233220,138496,74.0
1787234233283,138528,74.0
1787234233346,138528,84.0
1787234233408,138528,84.0
1787234233471,138528,90.0
1787234233531,138528,90.0
1787234233594,138528,93.6
1787234233647,159872,93.6
1787234233709,174672,93.6
1787234233768,175808,96.1
1787234233831,167696,96.1
1787234233894,167696,99.0
1787234233950,167696,99.0
1787234234007,167712,97.3
1787234234069,167776,97.3
1787234234132,167856,99.7
1787234234187,167872,99.7
1787234234250,167856,99.7
1787234234308,167856,99.7
1787234234367,167856,98.3
1787234234430,167872,98.3
1787234234493,167872,100.0
1787234234556,167872,100.0
1787234234609,167872,100.0
1787234234672,167872,100.0
1787234234729,167872,99.2
1787234234792,167872,99.2
1787234234853,167872,100.0
1787234234916,167872,100.0
1787234234972,167872,99.1
1787234235034,167872,99.1
1787234235093,167872,99.1
1787234235152,167872,100.0
1787234235215,167872,100.0
1787234235276,167872,100.0
1787234235339,167872,100.0
1787234235397,167872,99.7
1787234235451,167872,99.7
1787234235514,167872,100.0
1787234235575,167872,100.0
1787234235634,167872,99.3
1787234235696,167872,99.3
1787234235753,167872,98.8
1787234235816,167872,98.8
1787234235873,167872,100.0
1787234235928,167872,100.0
1787234235988,167872,98.6
1787234236049,167872,98.6
1787234236111,167872,100.0
1787234236171,167872,100.0
1787234236228,167872,98.8
1787234236291,167872,98.8
1787234236353,167872,100.0
1787234236415,167872,100.0
1787234236478,167872,99.6
1787234236542,167872,99.6
1787234236595,167872,99.6
1787234236656,167872,100.0
1787234236718,167888,100.0
1787234236778,167888,99.3
1787234236835,167888,99.3
1787234236897,167888,100.0
1787234236960,167888,100.0
1787234237024,167888,100.0
1787234237082,167888,100.0
1787234237138,167888,100.0
1787234237201,167888,100.0
1787234237264,167888,99.6
1787234237327,167888,99.6
1787234237389,167888,100.0
1787234237447,167888,100.0
1787234237509,167888,99.2
1787234237572,167888,99.2
1787234237628,167888,100.0
1787234237691,167888,100.0
1787234237753,167888,98.4
1787234237815,167888,98.4
1787234237878,167888,100.0
1787234237941,167888,100.0
1787234238004,167888,100.0
1787234238066,167888,100.0
1787234238119,167888,98.5
1787234238180,167888,98.5
1787234238237,167888,100.0
1787234238295,167888,100.0
1787234238348,167888,100.0
1787234238410,167888,98.8
1787234238473,167888,98.8
1787234238536,167888,100.0
1787234238599,167888,100.0
1787234238655,167888,99.8
1787234238709,167888,99.8
1787234238772,167888,99.4
1787234238833,167888,99.4
1787234238886,167888,100.0
1787234238947,167888,100.0
1787234239000,167888,100.0
1787234239062,167888,100.0
1787234239116,167888,99.1
1787234239179,167888,99.1
1787234239242,167888,100.0
1787234239303,167904,100.0
1787234239363,167904,100.0
1787234239426,167904,100.0
1787234239489,167904,98.5
1787234239548,167904,98.5
1787234239611,167904,100.0
1787234239670,167904,100.0
1787234239732,167904,98.8
1787234239795,167904,98.8
1787234239855,167904,97.8
1787234239918,167904,97.8
1787234239981,167904,100.0
1787234240043,167904,100.0
1787234240099,167904,100.0
1787234240160,169856,100.0
1787234240222,174720,100.0
1787234240282,179264,99.4
1787234240343,183920,99.4
1787234240406,192224,100.0
1787234240460,201568,100.0
1787234240523,212336,99.9
1787234240583,220912,99.9
1787234240638,227536,100.0
1787234240698,237840,100.0
1787234240762,248704,99.5
1787234240820,258784,99.5
1787234240878,266976,100.0
1787234240942,270896,100.0
1787234241004,281792,98.0
1787234241058,290976,98.0
