unix_ms,rss_kb,cpu_pct
1787235069529,96672,14.7
1787235069592,105760,14.7
1787235069652,634560,17.5
1787235069711,634560,17.5
1787235069774,634608,49.6
1787235069837,1163104,49.6
1787235069899,1163104,69.2
1787235069962,1206608,69.2
1787235070018,1346976,79.3
1787235070081,1506016,79.3
1787235070144,1663008,88.5
1787235070207,1820448,88.5
1787235070270,1977600,91.1
1787235070333,2133616,91.1
1787235070393,2223136,96.0
1787235070449,2232544,96.0
1787235070512,2242976,95.8
1787235070572,2253376,95.8
1787235070633,2264320,98.9
1787235070690,2274448,98.9
1787235070746,2284688,97.6
1787235070804,2294768,97.6
1787235070862,2304720,97.6
1787235070925,2315536,100.0
1787235070988,2326816,100.0
1787235071051,2338288,98.5
1787235071112,2348944,98.5
1787235071167,2358016,100.0
1787235071221,2368048,100.0
1787235071284,2379344,98.8
1787235071348,2390640,98.8
1787235071405,2400896,100.0
1787235071462,2411040,100.0
1787235071523,2421440,99.7
1787235071582,2431616,99.7
1787235071643,2441872,100.0
1787235071706,2453120,100.0
1787235071769,2464128,99.9
1787235071825,2473712,99.9
1787235071879,2483344,98.4
1787235071932,2492992,98.4
1787235071992,2504000,98.4
1787235072050,2514384,100.0
1787235072107,2524704,100.0
1787235072167,2535520,100.0
1787235072230,2546784,100.0
1787235072293,2557968,100.0
1787235072356,2568864,100.0
1787235072413,2579248,97.9
1787235072473,2590240,97.9
1787235072528,2600032,100.0
1787235072582,2609728,100.0
1787235072645,2621168,100.0
1787235072705,2632304,100.0
1787235072766,2643488,99.4
1787235072821,2653728,99.4
1787235072883,2665184,100.0
1787235072946,2676864,100.0
1787235073006,2687936,99.2
1787235073065,2698832,99.2
1787235073124,2709552,98.8
1787235073183,2720352,98.8
1787235073246,2732192,98.8
1787235073301,2742528,100.0
1787235073359,2752576,100.0
1787235073419,2752576,99.1
1787235073482,2752576,99.1
1787235073545,2752528,100.0
1787235073601,2760752,100.0
1787235073664,2772000,99.1
1787235073727,2782960,99.1
1787235073787,2793776,100.0
1787235073851,2804912,100.0
1787235073914,2816672,99.0
1787235073977,2827680,99.0
1787235074031,2836976,100.0
1787235074088,2847392,100.0
1787235074143,2856976,100.0
1787235074206,2868096,100.0
1787235074269,2879584,99.7
1787235074327,2890160,99.7
1787235074387,2901360,100.0
1787235074451,2911936,100.0
1787235074514,2923424,99.1
1787235074569,2933312,99.1
1787235074632,2944400,100.0
1787235074693,2955184,100.0
1787235074754,2966096,99.2
1787235074813,2976768,99.2
1787235074876,2987744,98.9
1787235074939,2998400,98.9
1787235075001,3008768,99.3
1787235075055,3017104,99.3
1787235075110,3026320,99.3
1787235075173,3037600,100.0
1787235075236,3048912,100.0
1787235075298,3059824,100.0
1787235075362,3071168,100.0
1787235075425,3081392,99.0
1787235075488,3092816,99.0
1787235075551,3102688,100.0
1787235075607,3112288,100.0
1787235075667,3121776,99.0
1787235075728,3132240,99.0
1787235075791,3143376,100.0
1787235075854,3154688,100.0
1787235075911,3165232,99.0
1787235075972,3176368,99.0
1787235076035,3187824,100.0
1787235076091,3197856,100.0
1787235076151,3208736,100.0
1787235076213,3219904,100.0
1787235076268,3229888,100.0
1787235076328,3239888,100.0
