200	0.011323	0.000236	0.011127
200	0.003564	0.000233	0.003312
200	0.008888	0.000155	0.008729
200	0.010580	0.000208	0.010466
200	0.012491	0.000231	0.012352
200	0.002496	0.000145	0.002326
200	0.003272	0.000257	0.003133
200	0.003064	0.000141	0.002920
200	0.015099	0.000158	0.014963
200	0.004237	0.000183	0.004062
200	0.003812	0.000156	0.003674
200	0.014691	0.000292	0.014584
200	0.003491	0.000204	0.003289
200	0.004924	0.000139	0.004749
200	0.014717	0.000184	0.014447
200	0.002618	0.000258	0.002401
200	0.002643	0.000263	0.002425
200	0.005852	0.000237	0.005686
200	0.002668	0.000316	0.002583
200	0.001968	0.000136	0.001877
200	0.001870	0.000123	0.001790
200	0.002059	0.000114	0.001958
200	0.002698	0.000195	0.002618
200	0.003363	0.000099	0.003213
200	0.002760	0.000117	0.002685
200	0.011313	0.000339	0.011183
200	0.002744	0.000176	0.002681
200	0.035040	0.000286	0.034975
200	0.026227	0.000258	0.026144
200	0.003251	0.000105	0.003174
200	0.004267	0.000113	0.004187
200	0.002625	0.000143	0.002527
200	0.003399	0.000159	0.003328
200	0.002851	0.000127	0.002732
200	0.004124	0.000235	0.003924
200	0.003500	0.000111	0.003437
200	0.002995	0.000145	0.002916
200	0.005453	0.000151	0.005324
200	0.003591	0.000176	0.003525
200	0.002778	0.000102	0.002693
200	0.002380	0.000087	0.002296
200	0.003140	0.000179	0.003057
200	0.002507	0.000115	0.002442
200	0.002228	0.000141	0.002154
200	0.001793	0.000122	0.001676
200	0.003662	0.000134	0.003539
200	0.030145	0.000160	0.030080
200	0.007556	0.000136	0.007482
200	0.006236	0.000111	0.006162
200	0.007892	0.000101	0.007808
200	0.004978	0.000101	0.004896
200	0.004932	0.000122	0.004864
200	0.004589	0.000167	0.004506
200	0.003127	0.000208	0.003033
200	0.003266	0.000142	0.003186
200	0.003869	0.000145	0.003792
200	0.074410	0.000229	0.074333
200	0.082179	0.000145	0.082095
200	0.024108	0.000135	0.024034
200	0.043722	0.000111	0.043645
200	0.008029	0.000116	0.007958
200	0.010564	0.000111	0.010487
200	0.008645	0.000079	0.008570
200	0.013590	0.000121	0.013520
200	0.010278	0.000121	0.010201
200	0.015659	0.000130	0.015573
200	0.021659	0.000154	0.021589
200	0.013985	0.000081	0.013912
200	0.009097	0.000091	0.009017
200	0.004660	0.000107	0.004590
200	0.006917	0.000113	0.006836
200	0.010258	0.000094	0.010187
200	0.005271	0.000121	0.005193
200	0.004161	0.000134	0.004088
200	0.003999	0.000108	0.003928
200	0.002614	0.000092	0.002542
200	0.002977	0.000173	0.002906
200	0.002516	0.000100	0.002423
200	0.024237	0.000125	0.024159
200	0.003834	0.000239	0.003758
200	0.003213	0.000102	0.003138
200	0.005746	0.000137	0.005677
200	0.004501	0.000122	0.004420
200	0.002503	0.000123	0.002429
200	0.002775	0.000109	0.002628
200	0.003925	0.000130	0.003846
200	0.001943	0.000128	0.001869
200	0.001710	0.000103	0.001632
200	0.002369	0.000105	0.002295
200	0.002495	0.000114	0.002418
200	0.002811	0.000097	0.002670
200	0.002516	0.000182	0.002444
200	0.002778	0.000116	0.002691
200	0.002475	0.000148	0.002402
200	0.002680	0.000128	0.002614
200	0.002479	0.000126	0.002403
200	0.002112	0.000179	0.002040
200	0.002373	0.000114	0.002291
200	0.001885	0.000118	0.001817
200	0.002171	0.000123	0.002091
200	0.001829	0.000115	0.001754
200	0.003014	0.000134	0.002850
200	0.049264	0.000098	0.049182
200	0.005537	0.000112	0.005455
200	0.003085	0.000177	0.003005
200	0.004137	0.000166	0.004038
200	0.025966	0.000163	0.025886
200	0.003600	0.000109	0.003498
200	0.003779	0.000126	0.003670
200	0.002955	0.000121	0.002882
200	0.003537	0.000098	0.003463
200	0.003317	0.000219	0.003247
200	0.002924	0.000143	0.002856
200	0.003147	0.000072	0.003041
200	0.019203	0.000177	0.019066
200	0.008041	0.000101	0.007976
200	0.011096	0.000095	0.011016
200	0.007486	0.000113	0.007413
200	0.006572	0.000114	0.006507
200	0.006242	0.000082	0.006162
200	0.005108	0.000106	0.005027
200	0.008470	0.000100	0.008392
200	0.006552	0.000280	0.006465
200	0.005574	0.000089	0.005410
200	0.005262	0.000076	0.005183
200	0.002095	0.000116	0.001893
200	0.027585	0.000106	0.027488
200	0.002570	0.000136	0.002475
200	0.002643	0.000106	0.002566
200	0.003975	0.000153	0.003865
200	0.022257	0.000129	0.022191
200	0.004059	0.000116	0.003986
200	0.004463	0.000096	0.004361
200	0.003910	0.000225	0.003832
200	0.008777	0.000206	0.008623
200	0.156216	0.000268	0.156119
200	0.007092	0.000100	0.006999
200	0.008337	0.000116	0.008258
200	0.007506	0.000137	0.007430
200	0.007305	0.000116	0.007234
200	0.007757	0.000094	0.007615
200	0.005642	0.000131	0.005565
200	0.003159	0.000143	0.003034
200	0.005244	0.000131	0.005117
200	0.003749	0.000165	0.003673
200	0.002112	0.000119	0.002033
200	0.002542	0.000095	0.002320
200	0.002389	0.000103	0.002306
200	0.002298	0.000114	0.002220
200	0.002067	0.000117	0.001988
200	0.029271	0.000118	0.029196
200	0.003197	0.000126	0.003114
200	0.003069	0.000120	0.002985
200	0.002855	0.000126	0.002779
200	0.002370	0.000175	0.002288
200	0.002454	0.000087	0.002371
200	0.001955	0.000101	0.001885
200	0.002063	0.000098	0.001980
200	0.002103	0.000098	0.002021
200	0.002440	0.000160	0.002306
200	0.025955	0.000102	0.025867
200	0.002065	0.000126	0.001989
200	0.003414	0.000178	0.003224
200	0.002981	0.000136	0.002896
200	0.003263	0.000114	0.003183
200	0.003031	0.000134	0.002876
200	0.003215	0.000119	0.003109
200	0.130296	0.000087	0.130215
200	0.004348	0.000163	0.004203
200	0.003584	0.000139	0.003485
200	0.003072	0.000143	0.002877
200	0.002400	0.000160	0.002296
200	0.048555	0.000118	0.048474
200	0.218299	0.000175	0.218220
200	0.003618	0.000149	0.003506
200	0.005264	0.000238	0.005079
200	0.008898	0.000138	0.008769
200	0.003182	0.000148	0.003108
200	0.003173	0.000201	0.003031
200	0.003065	0.000100	0.002973
200	0.003041	0.000094	0.002980
200	0.002398	0.000143	0.002255
200	0.002831	0.000140	0.002748
200	0.002879	0.000100	0.002791
200	0.002402	0.000122	0.002309
200	0.002255	0.000128	0.002158
200	0.015980	0.000120	0.015880
200	0.005458	0.000184	0.005387
200	0.004259	0.000103	0.004143
200	0.005879	0.000134	0.005807
200	0.004622	0.000281	0.004522
200	0.008591	0.000143	0.008519
200	0.005880	0.000172	0.005813
200	0.005943	0.000143	0.005833
200	0.005069	0.000120	0.004991
200	0.003349	0.000103	0.003268
200	0.004657	0.000113	0.004554
200	0.003864	0.000172	0.003792
200	0.002472	0.000126	0.002373
200	0.002585	0.000114	0.002495
200	0.002987	0.000124	0.002888
200	0.002369	0.000126	0.002292
200	0.003833	0.000103	0.003758
200	0.002739	0.000146	0.002666
200	0.003159	0.000170	0.003074
200	0.005287	0.000119	0.005192
200	0.005534	0.000097	0.005433
200	0.044609	0.000137	0.044536
200	0.022561	0.000146	0.022482
200	0.005467	0.000109	0.005395
200	0.007376	0.000116	0.007306
200	0.078550	0.000117	0.078353
200	0.011233	0.000241	0.011116
200	0.007736	0.000126	0.007661
200	0.005138	0.000121	0.005067
200	0.007593	0.000124	0.007514
200	0.005459	0.000102	0.005387
200	0.009742	0.000125	0.009661
200	0.006369	0.000106	0.006263
200	0.004160	0.000103	0.004086
200	0.005768	0.000148	0.005701
200	0.005260	0.000095	0.005179
200	0.002549	0.000171	0.002470
200	0.002588	0.000117	0.002492
200	0.067537	0.000132	0.067456
200	0.002543	0.000163	0.002474
200	0.022904	0.000201	0.022812
200	0.007537	0.000128	0.007461
200	0.003670	0.000166	0.003559
200	0.003510	0.000081	0.003363
200	0.007490	0.000109	0.007407
200	0.002659	0.000110	0.002588
200	0.002820	0.000169	0.002726
200	0.002846	0.000122	0.002762
200	0.002474	0.000105	0.002398
200	0.030422	0.000113	0.030348
200	0.002536	0.000092	0.002405
200	0.005095	0.000130	0.005007
200	0.004455	0.000177	0.004373
200	0.003386	0.000120	0.003299
200	0.003532	0.000160	0.003454
200	0.003200	0.000153	0.003072
200	0.007765	0.000140	0.007575
200	0.003123	0.000122	0.002949
200	0.009014	0.000153	0.008952
200	0.005059	0.000116	0.004967
200	0.003607	0.000154	0.003534
200	0.003604	0.000113	0.003537
200	0.003142	0.000165	0.003063
200	0.003750	0.000240	0.003680
200	0.004236	0.000164	0.004164
200	0.004442	0.000150	0.004344
200	0.004661	0.000176	0.004581
200	0.004089	0.000135	0.004005
200	0.004640	0.000121	0.004559
200	0.003812	0.000096	0.003742
200	0.016459	0.000130	0.016393
200	0.002231	0.000110	0.002139
200	0.002638	0.000118	0.002553
200	0.002811	0.000124	0.002728
200	0.002916	0.000110	0.002837
200	0.014656	0.000099	0.014569
200	0.011959	0.000180	0.011866
200	0.010804	0.000119	0.010724
200	0.009528	0.000116	0.009448
200	0.008336	0.000107	0.008268
200	0.008344	0.000098	0.008283
200	0.008187	0.000087	0.008103
200	0.007474	0.000085	0.007401
200	0.007242	0.000099	0.007129
200	0.016834	0.000107	0.016769
200	0.005950	0.000131	0.005883
200	0.002494	0.000212	0.002430
200	0.002687	0.000099	0.002606
200	0.003186	0.000099	0.003108
200	0.002833	0.000102	0.002734
200	0.002890	0.000212	0.002788
200	0.091541	0.000127	0.091436
200	0.003972	0.000114	0.003896
200	0.004291	0.000143	0.004218
200	0.067521	0.000164	0.067373
200	0.002978	0.000118	0.002901
200	0.003709	0.000150	0.003646
200	0.003021	0.000160	0.002938
200	0.002992	0.000105	0.002896
200	0.002850	0.000147	0.002782
200	0.002806	0.000111	0.002688
200	0.002801	0.000114	0.002721
200	0.015345	0.000101	0.015275
200	0.004666	0.000155	0.004573
200	0.003096	0.000158	0.003029
200	0.004667	0.000143	0.004601
200	0.041620	0.000104	0.041548
200	0.035971	0.000102	0.035863
200	0.004437	0.000110	0.004364
200	0.002758	0.000122	0.002677
200	0.003843	0.000159	0.003736
200	0.003850	0.000144	0.003782
200	0.002867	0.000114	0.002775
200	0.003494	0.000158	0.003417
200	0.003141	0.000136	0.003058
200	0.002662	0.000139	0.002565
200	0.002904	0.000110	0.002834
200	0.004235	0.000159	0.004146
200	0.002498	0.000144	0.002415
200	0.003428	0.000153	0.003348
