unix_ms,rss_kb,cpu_pct
1787234436718,96448,18.1
1787234436780,105280,16.6
1787234436836,252000,16.6
1787234436894,386448,40.0
1787234436957,406576,40.0
1787234437017,417328,61.9
1787234437080,427312,61.9
1787234437138,437696,61.9
1787234437201,448688,76.0
1787234437264,460240,76.0
1787234437327,471696,84.5
1787234437390,479104,84.5
1787234437449,489664,91.6
1787234437512,500992,91.6
1787234437575,512352,93.3
1787234437634,522880,93.3
1787234437697,533840,97.2
1787234437756,544096,97.2
1787234437812,554080,96.7
1787234437873,564768,96.7
1787234437932,575520,99.3
1787234437996,584384,99.3
1787234438059,584944,98.1
1787234438115,594864,98.1
1787234438178,606112,100.0
1787234438241,617104,100.0
1787234438303,628192,98.7
1787234438365,639392,98.7
1787234438428,650560,100.0
1787234438486,660944,100.0
1787234438549,672128,98.8
1787234438609,683184,98.8
1787234438669,693744,100.0
1787234438729,704144,100.0
1787234438788,714384,99.0
1787234438851,725712,99.0
1787234438913,736464,100.0
1787234438976,747472,100.0
1787234439040,752832,100.0
1787234439100,752832,100.0
1787234439164,752832,99.7
1787234439227,763008,99.7
1787234439290,774592,99.4
1787234439350,785184,99.4
1787234439406,795344,100.0
1787234439465,806336,100.0
1787234439528,817776,99.1
1787234439588,828784,99.1
1787234439650,839680,99.9
1787234439713,851280,99.9
1787234439769,861712,99.9
1787234439829,872704,99.5
1787234439887,883520,99.5
1787234439945,894048,100.0
1787234439999,904112,100.0
1787234440062,915856,100.0
1787234440124,927072,100.0
1787234440187,938288,99.9
1787234440245,948960,99.9
1787234440307,959712,100.0
1787234440370,970848,100.0
1787234440433,981872,98.7
1787234440488,991952,98.7
1787234440551,1003296,99.1
1787234440611,1005248,99.1
1787234440674,1005248,100.0
1787234440736,1005248,100.0
1787234440795,1005248,99.1
1787234440859,1005248,99.1
1787234440918,1012624,99.7
1787234440981,1024176,99.7
1787234441043,1035088,100.0
1787234441106,1046144,100.0
1787234441169,1057328,99.3
1787234441226,1067616,99.3
1787234441289,1079280,100.0
1787234441352,1090032,100.0
1787234441411,1100992,99.1
1787234441474,1112144,99.1
1787234441533,1122608,100.0
1787234441590,1132656,100.0
1787234441649,1143392,100.0
1787234441712,1154640,99.0
1787234441770,1164640,99.0
1787234441831,1175504,100.0
1787234441892,1186048,100.0
1787234441955,1195760,100.0
1787234442018,1206336,100.0
1787234442080,1217536,99.7
1787234442134,1227296,99.7
1787234442197,1238624,100.0
1787234442254,1248912,100.0
1787234442317,1259312,100.0
1787234442370,1269200,100.0
1787234442424,1277520,99.2
1787234442486,1287920,99.2
