unix_ms,rss_kb,cpu_pct
1787234227245,96640,15.0
1787234227302,105488,15.0
1787234227365,114656,17.5
1787234227428,114656,17.5
1787234227490,114656,46.8
1787234227550,114656,46.8
1787234227613,127344,67.5
1787234227676,127376,67.5
1787234227737,127376,77.8
1787234227798,127328,77.8
1787234227859,127328,85.7
1787234227922,127328,85.7
1787234227978,127328,91.8
1787234228042,127328,91.8
1787234228097,127344,96.4
1787234228151,127360,96.4
1787234228214,127392,96.0
1787234228267,127392,96.0
1787234228329,127392,96.0
1787234228388,127392,99.1
1787234228450,127392,99.1
1787234228513,127392,97.8
1787234228574,127392,97.8
1787234228637,127392,100.0
1787234228701,127392,100.0
1787234228763,127392,98.5
1787234228817,127392,98.5
1787234228880,127392,100.0
1787234228941,127424,100.0
1787234228995,127424,98.8
1787234229052,127424,98.8
1787234229114,127424,100.0
1787234229177,127424,100.0
1787234229239,127424,99.8
1787234229302,127424,99.8
1787234229359,127424,98.9
1787234229421,129296,98.9
1787234229484,135360,100.0
1787234229544,143984,100.0
1787234229607,153360,99.0
1787234229667,164080,99.0
1787234229731,172096,100.0
1787234229794,181840,100.0
1787234229857,192976,99.2
1787234229919,201312,99.2
1787234229972,207616,99.6
1787234230026,216720,99.6
1787234230081,226320,99.6
1787234230138,236224,100.0
1787234230195,245024,100.0
1787234230254,248048,99.3
1787234230311,254832,99.3
1787234230374,263712,100.0
1787234230437,271888,100.0
1787234230500,283040,99.1
1787234230563,294416,99.1
1787234230624,303872,100.0
1787234230685,309664,100.0
1787234230749,310080,99.1
1787234230810,316464,99.1
1787234230868,326544,100.0
1787234230931,326992,100.0
1787234230985,327120,98.3
1787234231038,327120,98.3
1787234231102,327120,61.4
1787234231166,327120,61.4
1787234231229,327120,38.4
