unix_ms,rss_kb,cpu_pct
1787234367514,96704,16.8
1787234367576,105648,15.2
1787234367638,173680,15.2
1787234367701,184448,40.5
1787234367764,194432,40.5
1787234367825,205312,63.9
1787234367882,213936,63.9
1787234367949,225264,75.8
1787234368011,236656,75.8
1787234368071,247888,83.6
1787234368135,253808,83.6
1787234368198,265168,91.7
1787234368255,275776,91.7
1787234368315,286608,92.6
1787234368378,298032,92.6
1787234368437,308064,92.6
1787234368498,312512,97.4
1787234368562,319808,97.4
1787234368617,329616,98.9
1787234368671,339536,98.9
1787234368735,351072,97.6
1787234368798,362560,97.6
1787234368858,373184,100.0
1787234368911,382880,100.0
1787234368974,394112,98.5
1787234369037,401280,98.5
1787234369101,401280,99.3
1787234369156,406944,99.3
1787234369220,418576,99.4
1787234369283,430048,99.4
1787234369345,441520,100.0
1787234369401,452080,100.0
1787234369458,462656,99.1
1787234369516,473152,99.1
1787234369579,484720,100.0
1787234369640,495904,100.0
1787234369703,507344,99.1
1787234369757,516864,99.1
1787234369821,528720,99.4
1787234369884,534272,99.4
1787234369948,534272,99.7
1787234370011,534272,99.7
1787234370071,540384,99.8
1787234370130,551136,99.8
1787234370194,562608,99.8
1787234370258,574480,100.0
1787234370318,585552,100.0
1787234370380,596864,99.7
1787234370443,608512,99.7
1787234370498,618896,100.0
1787234370561,630608,100.0
1787234370621,641824,99.3
1787234370684,653664,99.3
1787234370748,665376,100.0
1787234370811,677152,100.0
1787234370866,687568,100.0
1787234370928,699088,100.0
1787234370990,710320,99.8
1787234371047,720864,99.8
1787234371110,731728,100.0
1787234371166,733696,100.0
1787234371229,733696,99.3
1787234371293,733696,99.3
1787234371348,733696,100.0
1787234371406,733696,100.0
1787234371469,741696,99.1
1787234371532,752736,99.1
1787234371589,763328,100.0
1787234371644,773344,100.0
1787234371699,783184,100.0
1787234371763,794992,99.1
1787234371823,805664,99.1
1787234371886,816768,100.0
1787234371949,828496,100.0
1787234372011,839984,99.0
1787234372065,849952,99.0
1787234372125,860736,100.0
1787234372187,871760,100.0
1787234372247,882576,100.0
1787234372311,893776,100.0
1787234372373,905104,98.6
1787234372435,916272,98.6
1787234372493,926720,100.0
1787234372555,937744,100.0
1787234372615,948512,99.4
1787234372675,959088,99.4
1787234372738,969152,100.0
1787234372800,979872,100.0
1787234372863,991232,99.2
1787234372926,1002544,99.2
1787234372989,1014048,100.0
1787234373052,1024656,100.0
1787234373107,1032752,99.1
1787234373169,1032752,99.1
1787234373232,1032752,99.4
1787234373293,1032752,99.4
1787234373348,1032752,100.0
1787234373408,1032752,100.0
1787234373472,1032752,100.0
1787234373532,1032752,100.0
1787234373595,1035600,99.6
1787234373658,1047296,99.6
1787234373721,1056624,99.3
1787234373774,1065968,99.3
1787234373837,1076384,100.0
1787234373900,1087568,100.0
1787234373960,1098192,99.1
1787234374017,1108752,99.1
1787234374071,1118784,99.1
1787234374129,1129488,100.0
1787234374193,1140832,100.0
1787234374257,1152480,100.0
1787234374321,1164272,100.0
1787234374381,1175248,100.0
1787234374444,1186432,100.0
1787234374504,1196832,99.6
1787234374568,1208272,99.6
1787234374628,1219040,100.0
1787234374691,1230464,100.0
1787234374752,1241488,99.0
1787234374815,1252896,99.0
1787234374878,1264192,100.0
1787234374935,1274432,100.0
1787234374991,1284720,100.0
1787234375054,1296208,100.0
1787234375115,1307136,99.4
1787234375173,1317728,99.4
1787234375234,1328992,100.0
1787234375293,1339888,100.0
1787234375357,1351248,100.0
1787234375409,1360832,100.0
1787234375468,1371488,99.5
1787234375531,1382672,99.5
1787234375590,1392736,99.5
1787234375654,1404384,100.0
1787234375720,1416528,99.2
1787234375776,1427120,99.2
1787234375839,1438432,99.2
1787234375899,1449456,100.0
1787234375955,1459872,100.0
1787234376018,1471376,100.0
1787234376083,1481424,100.0
1787234376146,1481424,99.8
1787234376209,1481424,99.8
1787234376270,1481424,100.0
1787234376333,1481424,100.0
1787234376388,1481424,100.0
1787234376446,1481424,100.0
1787234376510,1481424,98.8
1787234376573,1481424,98.8
1787234376637,1481424,98.7
1787234376702,1481424,98.7
1787234376762,1481424,100.0
1787234376820,1481424,100.0
1787234376875,1491088,99.6
1787234376935,1502320,99.6
1787234376999,1514192,100.0
1787234377056,1524816,100.0
1787234377113,1535328,99.6
1787234377169,1545568,99.6
1787234377232,1557440,98.2
1787234377286,1567616,98.2
1787234377349,1575408,100.0
1787234377413,1586256,100.0
1787234377469,1593120,100.0
1787234377528,1549728,100.0
1787234377592,1550944,100.0
1787234377658,1547088,99.9
1787234377721,1553744,98.4
1787234377774,1563408,98.4
1787234377837,1567152,98.4
1787234377900,1579040,99.0
1787234377954,1588768,99.0
1787234378018,1600272,100.0
1787234378081,1612112,100.0
1787234378144,1623856,100.0
1787234378202,1634944,100.0
1787234378257,1644352,99.8
1787234378318,1656048,99.8
1787234378381,1667312,99.8
1787234378438,1677536,99.8
1787234378498,1688512,99.7
1787234378554,1698784,99.7
1787234378612,1709312,100.0
1787234378672,1720048,100.0
1787234378736,1731616,100.0
1787234378789,1740912,100.0
1787234378852,1751184,99.5
1787234378909,1761200,99.5
1787234378972,1772576,99.5
1787234379037,1784256,100.0
1787234379103,1796272,99.1
1787234379162,1806704,99.1
1787234379221,1815536,99.1
1787234379277,1825936,100.0
1787234379334,1833136,100.0
1787234379393,1833200,99.1
1787234379456,1833248,99.1
1787234379517,1833376,99.6
1787234379572,1833376,99.6
1787234379634,1833600,100.0
1787234379689,1834016,100.0
1787234379753,1834720,99.3
1787234379807,1835088,99.3
1787234379872,1835616,100.0
1787234379925,1836896,100.0
1787234379986,1836896,77.8
1787234380051,1836896,77.8
1787234380118,1836896,48.6
1787234380179,1836896,48.6
