unix_ms,rss_kb,cpu_pct
1787234498238,96640,16.5
1787234498301,106080,15.4
1787234498354,244624,15.4
1787234498417,420992,15.4
1787234498481,579888,44.4
1787234498541,662880,44.4
1787234498604,673408,63.3
1787234498660,682288,63.3
1787234498719,692640,78.2
1787234498775,702416,78.2
1787234498837,713664,85.2
1787234498900,725248,85.2
1787234498957,735856,92.1
1787234499020,747296,92.1
1787234499082,758144,96.5
1787234499144,769456,96.5
1787234499207,780656,96.3
1787234499265,790944,96.3
1787234499320,799104,99.1
1787234499375,801904,99.1
1787234499435,812800,97.9
1787234499498,823824,97.9
1787234499558,834560,98.8
1787234499620,845712,98.8
1787234499676,855776,98.8
1787234499739,867040,99.0
1787234499795,876816,99.0
1787234499858,888128,99.8
1787234499921,899568,99.8
1787234499977,909552,100.0
1787234500036,920192,100.0
1787234500096,931168,99.6
1787234500154,941872,99.6
1787234500217,953248,100.0
1787234500274,963456,100.0
1787234500332,974032,99.0
1787234500389,984256,99.0
1787234500453,995552,100.0
1787234500515,1006480,100.0
1787234500577,1009536,99.0
1787234500635,1009536,99.0
1787234500692,1011008,100.0
1787234500747,1021072,100.0
1787234500810,1032480,99.2
1787234500865,1042464,99.2
1787234500921,1052624,99.2
1787234500980,1063424,100.0
1787234501036,1073536,100.0
1787234501094,1084048,100.0
1787234501149,1094096,100.0
1787234501212,1105776,100.0
1787234501276,1117632,100.0
1787234501333,1128128,100.0
1787234501396,1139648,100.0
1787234501458,1150992,98.6
1787234501512,1160976,98.6
1787234501576,1172672,100.0
1787234501638,1184048,100.0
1787234501701,1195568,98.8
1787234501758,1205872,98.8
1787234501819,1216592,100.0
1787234501875,1226256,100.0
1787234501938,1237408,99.0
1787234501992,1247184,99.0
1787234502050,1257920,99.0
1787234502106,1267728,100.0
1787234502169,1278816,100.0
1787234502228,1289552,100.0
1787234502285,1299440,100.0
1787234502345,1310160,99.7
1787234502408,1321680,99.7
1787234502462,1325184,100.0
1787234502525,1325168,100.0
1787234502585,1325168,99.3
1787234502646,1325168,99.3
1787234502709,1325168,99.0
1787234502772,1327472,99.0
1787234502835,1339072,100.0
1787234502899,1349728,100.0
1787234502962,1361408,100.0
1787234503025,1372656,100.0
1787234503080,1382240,99.0
1787234503143,1393312,99.0
1787234503205,1404576,100.0
1787234503263,1414784,100.0
1787234503325,1425376,100.0
1787234503382,1435424,100.0
1787234503437,1445104,100.0
1787234503497,1454352,99.8
1787234503560,1464992,99.8
1787234503619,1475424,100.0
1787234503673,1485184,100.0
1787234503730,1495392,99.3
1787234503790,1506160,99.3
1787234503853,1516368,99.0
1787234503916,1527968,99.0
1787234503979,1538352,99.0
1787234504034,1547184,99.0
1787234504097,1558304,100.0
1787234504151,1566816,100.0
1787234504212,1577664,99.0
1787234504275,1588800,99.0
1787234504337,1600304,100.0
1787234504400,1611840,100.0
1787234504462,1622864,99.0
1787234504518,1632848,99.0
1787234504576,1643232,100.0
1787234504639,1654480,100.0
1787234504702,1665728,100.0
1787234504766,1676304,100.0
1787234504829,1687600,100.0
1787234504884,1697440,100.0
1787234504944,1708112,100.0
1787234505008,1719536,100.0
1787234505067,1730224,100.0
1787234505125,1740512,99.0
1787234505188,1751728,99.0
1787234505249,1761904,100.0
1787234505312,1773152,100.0
1787234505375,1784304,98.7
1787234505438,1795184,98.7
1787234505492,1798592,100.0
1787234505553,1798592,100.0
1787234505616,1798592,100.0
1787234505674,1798592,100.0
1787234505732,1798592,99.4
1787234505796,1798592,99.4
1787234505860,1798592,100.0
1787234505920,1798592,100.0
1787234505984,1798592,98.6
1787234506045,1798592,98.6
1787234506109,1799648,100.0
1787234506172,1810896,100.0
1787234506236,1822016,99.6
1787234506296,1832416,99.6
1787234506358,1843360,100.0
1787234506422,1854496,100.0
1787234506484,1865392,100.0
1787234506548,1876288,100.0
1787234506611,1886832,98.4
1787234506674,1898272,98.4
1787234506731,1908240,100.0
1787234506794,1919296,100.0
1787234506855,1929728,99.5
1787234506918,1940832,99.5
1787234506982,1951968,99.7
1787234507046,1963104,99.7
1787234507109,1974048,99.3
1787234507172,1985296,99.3
1787234507231,1995920,100.0
1787234507295,2007312,100.0
1787234507358,2018400,99.9
1787234507417,2028896,99.9
1787234507481,2040528,100.0
1787234507545,2052064,100.0
1787234507608,2063296,99.3
1787234507671,2074528,99.3
1787234507735,2085776,100.0
1787234507796,2096384,100.0
1787234507856,2106512,99.6
1787234507910,2115696,99.6
1787234507973,2126864,100.0
1787234508028,2136816,100.0
1787234508092,2147616,100.0
1787234508150,2157456,100.0
1787234508208,2167808,100.0
1787234508263,2176864,100.0
1787234508324,2187248,100.0
1787234508380,2197024,99.6
1787234508442,2207968,99.6
1787234508504,2219008,98.9
1787234508567,2229184,98.9
1787234508631,2240400,99.6
1787234508692,2250976,99.6
1787234508756,2261712,99.7
1787234508818,2272384,99.7
1787234508879,2283088,100.0
1787234508943,2294080,100.0
1787234509002,2303888,100.0
1787234509065,2314752,100.0
1787234509127,2325088,100.0
1787234509182,2333088,100.0
1787234509240,2342608,98.8
1787234509303,2353360,98.8
1787234509364,2364064,100.0
1787234509423,2374384,100.0
1787234509479,2384256,100.0
1787234509539,2393888,100.0
1787234509596,2404240,100.0
1787234509660,2415424,100.0
1787234509723,2424624,99.4
1787234509782,2434592,99.4
1787234509842,2444080,98.8
1787234509909,2454576,98.8
1787234509974,2464368,98.2
1787234510033,2474416,98.2
1787234510090,2483056,98.4
1787234510156,2493744,98.4
1787234510226,2504096,97.5
1787234510290,2508720,97.5
1787234510348,2508720,96.4
1787234510411,2508720,96.4
1787234510483,2508720,99.6
1787234510543,2508720,99.6
1787234510605,2508720,94.7
1787234510666,2508720,94.7
1787234510728,2508720,98.0
