unix_ms,rss_kb,cpu_pct
1787234402834,96992,15.9
1787234402895,106144,15.9
1787234402958,244768,21.1
1787234403021,276208,21.1
1787234403084,287232,52.1
1787234403144,296784,52.1
1787234403198,306352,67.9
1787234403261,315472,67.9
1787234403322,326384,81.0
1787234403381,336816,81.0
1787234403444,348000,85.8
1787234403506,359136,85.8
1787234403569,370368,92.5
1787234403632,375072,92.5
1787234403695,386656,93.7
1787234403756,397152,93.7
1787234403819,407744,97.5
1787234403879,418784,97.5
1787234403942,429968,96.9
1787234404005,441168,96.9
1787234404063,451248,99.4
1787234404125,462032,99.4
1787234404184,467904,99.2
1787234404239,467904,99.2
1787234404302,478608,98.6
1787234404362,488960,98.6
1787234404423,499856,98.6
1787234404484,510752,100.0
1787234404547,521808,100.0
1787234404610,532944,99.5
1787234404669,543824,99.5
1787234404732,555200,100.0
1787234404789,565440,100.0
1787234404843,575216,99.2
1787234404905,586256,99.2
1787234404961,596288,100.0
1787234405017,606128,100.0
1787234405081,610032,99.1
1787234405139,610032,99.1
1787234405199,610032,100.0
1787234405262,619376,100.0
1787234405325,630720,99.0
1787234405384,641440,99.0
1787234405447,652576,100.0
1787234405510,663856,100.0
1787234405567,674288,99.0
1787234405630,685616,99.0
1787234405692,696960,100.0
1787234405746,706704,100.0
1787234405808,717824,99.8
1787234405869,728672,99.8
1787234405923,738256,99.8
1787234405985,749632,100.0
1787234406049,761168,100.0
1787234406107,771968,100.0
1787234406170,783680,100.0
1787234406230,794560,99.6
1787234406290,805360,99.6
1787234406348,815840,99.3
1787234406406,822928,99.3
1787234406463,822928,100.0
1787234406527,822928,100.0
1787234406591,822928,99.1
1787234406655,822928,99.1
1787234406715,830400,100.0
1787234406778,841440,100.0
1787234406841,852432,99.2
1787234406901,863424,99.2
1787234406964,874624,100.0
1787234407020,884208,100.0
1787234407078,894864,99.1
1787234407132,904240,99.1
1787234407189,914304,100.0
1787234407252,925568,100.0
1787234407315,936880,99.2
1787234407376,947744,99.2
1787234407439,958576,100.0
1787234407502,969984,100.0
1787234407564,981168,100.0
1787234407623,991280,100.0
1787234407686,1002352,100.0
1787234407748,1013632,100.0
1787234407809,1024336,100.0
1787234407871,1035088,100.0
1787234407934,1046176,100.0
1787234407997,1056944,99.6
1787234408060,1066544,99.6
1787234408119,1076336,99.5
1787234408173,1085552,99.5
1787234408227,1094944,100.0
1787234408290,1106240,100.0
1787234408350,1116960,100.0
1787234408413,1127200,100.0
1787234408473,1138256,98.8
1787234408533,1142128,98.8
1787234408595,1142128,100.0
1787234408658,1142128,100.0
1787234408722,1142128,100.0
1787234408785,1142128,100.0
1787234408848,1142128,100.0
1787234408906,1142128,100.0
1787234408969,1144976,99.4
1787234409031,1154304,99.4
1787234409090,1164208,100.0
1787234409149,1173552,100.0
1787234409207,1183568,99.2
1787234409270,1194560,99.2
1787234409328,1205040,100.0
1787234409389,1215888,100.0
1787234409444,1225856,99.1
1787234409507,1236944,99.1
1787234409570,1248112,99.7
1787234409630,1258944,99.7
1787234409688,1269152,99.7
1787234409751,1280480,100.0
1787234409814,1291008,100.0
1787234409871,1301168,99.6
1787234409925,1310432,99.6
1787234409983,1320656,99.2
1787234410046,1331760,99.2
1787234410100,1341360,100.0
1787234410163,1352752,100.0
1787234410225,1363568,99.1
1787234410283,1373680,99.1
1787234410345,1384992,100.0
1787234410408,1396032,100.0
1787234410471,1407232,99.0
1787234410529,1417632,99.0
1787234410590,1428752,100.0
1787234410645,1438704,100.0
1787234410708,1449984,99.6
1787234410771,1461296,99.6
1787234410828,1471392,100.0
1787234410888,1482256,100.0
1787234410951,1492784,99.3
1787234411014,1504160,99.3
1787234411076,1515488,100.0
1787234411139,1527056,100.0
1787234411193,1536384,100.0
1787234411256,1547760,99.2
1787234411317,1558704,99.2
1787234411380,1569968,100.0
1787234411443,1581248,100.0
1787234411496,1590976,100.0
1787234411559,1602416,100.0
1787234411621,1613712,99.8
1787234411684,1621296,99.8
1787234411747,1621296,100.0
1787234411803,1621296,100.0
1787234411860,1621296,99.1
1787234411921,1621296,99.1
1787234411983,1621296,100.0
1787234412045,1621296,100.0
1787234412108,1621296,99.0
1787234412171,1621296,99.0
1787234412232,1621296,100.0
1787234412292,1621296,100.0
1787234412352,1621296,99.0
1787234412415,1624432,99.0
1787234412471,1634720,100.0
1787234412534,1646304,100.0
1787234412596,1657680,99.6
1787234412649,1667504,99.6
1787234412708,1678288,100.0
1787234412768,1688944,100.0
1787234412831,1700288,99.3
1787234412893,1710896,99.3
1787234412955,1721696,99.9
1787234413013,1732016,99.9
1787234413073,1743104,99.9
1787234413132,1753696,99.6
1787234413193,1764320,99.6
1787234413256,1775808,100.0
1787234413311,1785232,100.0
1787234413373,1796272,99.7
1787234413434,1807328,99.7
1787234413497,1818704,100.0
1787234413560,1830192,100.0
1787234413619,1839936,99.3
1787234413673,1849952,99.3
1787234413736,1861136,100.0
1787234413789,1870528,100.0
1787234413852,1881472,99.1
1787234413914,1892656,99.1
1787234413973,1902976,100.0
1787234414031,1912960,100.0
1787234414093,1923616,99.1
1787234414156,1934464,99.1
1787234414219,1944000,99.9
1787234414282,1954528,99.9
1787234414336,1963808,98.9
1787234414393,1973728,98.9
1787234414451,1984144,98.9
1787234414514,1995408,100.0
1787234414569,2004384,100.0
1787234414625,2014512,99.0
1787234414681,2024544,99.0
1787234414739,2033152,100.0
1787234414799,2043488,100.0
1787234414862,2053728,100.0
1787234414922,2064208,100.0
1787234414985,2075424,99.7
1787234415048,2086928,99.7
1787234415111,2098240,100.0
1787234415174,2109456,100.0
1787234415237,2120480,99.3
1787234415297,2131344,99.3
1787234415359,2142592,100.0
1787234415418,2152880,100.0
1787234415481,2163680,99.1
1787234415538,2173728,99.1
1787234415600,2184752,100.0
1787234415663,2195744,100.0
1787234415726,2206928,99.1
1787234415789,2218048,99.1
1787234415846,2227856,100.0
1787234415901,2237632,100.0
1787234415961,2247952,99.0
1787234416024,2259136,99.0
1787234416085,2270160,98.7
1787234416143,2280256,98.7
1787234416205,2291600,98.7
1787234416269,2303168,100.0
1787234416330,2314032,100.0
1787234416386,2324048,100.0
1787234416447,2335088,100.0
1787234416506,2339776,100.0
1787234416569,2339776,100.0
1787234416633,2339776,99.5
1787234416693,2339776,99.5
1787234416756,2339776,100.0
1787234416814,2339776,100.0
1787234416877,2339776,99.3
1787234416940,2339776,99.3
1787234417002,2339776,100.0
1787234417061,2339776,100.0
1787234417115,2339776,99.1
1787234417179,2339776,99.1
1787234417239,2339776,100.0
1787234417301,2339776,100.0
1787234417364,2339776,100.0
1787234417418,2339776,100.0
1787234417475,2339776,99.0
1787234417532,2339776,99.0
1787234417592,2339776,99.7
1787234417654,2343344,99.7
