unix_ms,rss_kb,cpu_pct
1787234645784,96256,22.1
1787234645838,105072,13.8
1787234645894,373680,13.8
1787234645956,552176,31.2
1787234646017,642240,31.2
1787234646079,763408,56.1
1787234646140,916000,56.1
1787234646195,1052016,73.4
1787234646257,1179808,73.4
1787234646320,1189984,81.8
1787234646376,1199296,81.8
1787234646438,1209616,90.3
1787234646501,1220784,90.3
1787234646565,1232016,92.2
1787234646627,1243408,92.2
1787234646685,1253616,96.7
1787234646748,1264544,96.7
1787234646807,1275008,99.3
1787234646870,1286480,99.3
1787234646925,1296256,97.4
1787234646980,1305952,97.4
1787234647043,1316416,97.4
1787234647102,1327040,99.7
1787234647155,1336496,99.7
1787234647212,1346608,98.4
1787234647272,1357408,98.4
1787234647335,1368544,100.0
1787234647391,1378320,100.0
1787234647454,1389488,99.7
1787234647509,1399216,99.7
1787234647570,1409968,100.0
1787234647629,1420480,100.0
1787234647685,1430496,98.1
1787234647745,1441536,98.1
1787234647803,1449344,100.0
1787234647862,1449344,100.0
1787234647925,1457024,100.0
1787234647978,1466592,100.0
1787234648045,1478448,98.7
1787234648103,1489040,98.7
1787234648158,1498720,98.7
1787234648219,1509968,100.0
1787234648281,1520464,100.0
1787234648344,1531840,100.0
1787234648407,1543360,100.0
1787234648465,1553904,99.4
1787234648523,1564336,99.4
1787234648577,1573856,100.0
1787234648631,1583728,100.0
1787234648688,1594176,99.2
1787234648746,1604672,99.2
1787234648806,1615520,100.0
1787234648868,1626928,100.0
1787234648930,1638608,99.0
1787234648990,1649600,99.0
1787234649054,1660960,100.0
1787234649114,1671776,100.0
1787234649175,1682944,99.0
1787234649238,1694496,99.0
1787234649301,1706032,100.0
1787234649363,1717168,100.0
1787234649425,1728544,99.4
1787234649479,1737872,99.4
1787234649534,1747232,99.4
1787234649596,1757872,100.0
1787234649659,1769104,100.0
1787234649720,1780144,99.4
1787234649780,1790512,99.4
1787234649843,1801680,100.0
1787234649904,1812512,100.0
1787234649967,1823264,99.8
1787234650029,1834336,99.8
1787234650088,1844752,99.0
1787234650151,1856144,99.0
1787234650209,1856208,100.0
1787234650272,1856208,100.0
1787234650328,1856208,99.0
1787234650391,1856208,99.0
1787234650448,1856208,100.0
1787234650511,1864496,100.0
1787234650574,1875152,99.2
1787234650631,1885504,99.2
1787234650687,1894944,100.0
1787234650750,1905808,100.0
1787234650811,1916496,100.0
1787234650874,1927712,100.0
1787234650934,1938384,99.6
1787234650995,1949136,99.6
1787234651058,1960176,100.0
1787234651114,1968880,100.0
1787234651171,1978448,100.0
1787234651233,1989024,99.3
1787234651291,1999344,99.3
1787234651348,2009312,99.5
1787234651411,2020560,99.5
1787234651474,2031728,99.6
1787234651532,2041328,99.6
1787234651591,2051920,100.0
1787234651652,2061248,100.0
1787234651715,2071936,100.0
1787234651778,2082208,100.0
1787234651839,2092544,99.2
1787234651902,2103632,99.2
1787234651957,2113264,99.6
